year,2024,2024,2024,2023,2023,2023,2022,2022,2022,2021,2021,2021,2020,2020,2020,2019,2019,2019,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000,1999,1999,1999,1998,1998,1998,1997,1997,1997,1996,1996,1996
Month,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late
January,15288,15715,15634,12721,12941,13325,8031,8072,8204,10730,10689,10567,12393,12452,12383,15722,15809,15925,8773,8814,8894,6722,7011,7184,10229,10372,10472,10617,10847,10979,7306,7436,7496,9457,9482,9581,8129,8202,8314,8044,8153,8210,6931,7279,8008,7017,6765,6972,4620,4640,4469,5817,5886,5979,5626,5682,5675,8290,8591,8617,4580,4617,4689,4454,4475,4496,5859,6012,6024,7203,7619,8153,2360,2383,2371,2391,2523,2715,7454,7273,7273,6068,6221,6527,3228,3189,3154
February,15685,15682,15709,13611,13552,13892,8387,8478,8302,10604,10689,10708,11668,11215,12353,16025,16018,16028,8916,9028,8960,7228,7233,7256,10592,10556,10415,11207,11402,11113,7473,7594,7753,9607,9691,9809,8128,7912,7947,8352,8254,8262,8208,8541,8699,7111,7167,7169,4350,4532,4554,6054,6221,6117,5789,5761,5748,8678,8694,8752,4797,4850,5100,4557,4565,4564,6080,6036,5929,9096,9680,9660,2380,2380,2380,2804,2845,2838,7213,7101,6995,6998,7280,7289,3171,3204,3193
March,15747,15797,16091,13275,13668,13894,8117,8417,8504,10690,10684,10691,13149,13619,13531,15818,16063,16355,8968,8991,9058,7076,7185,7365,10833,10830,10857,11386,11070,10862,7574,7949,9243,10108,10472,10585,7977,7889,8130,8374,8394,8268,8782,8833,8974,7164,7230,7224,4578,4606,4639,6106,6049,6011,5612,5531,5526,8907,8942,8854,5535,5904,6226,4515,4534,4499,6080,6028,6029,9551,9570,9440,2318,2280,2280,2800,2792,2776,7011,6959,6854,7291,7179,7268,3206,3161,3174
April,16009,16079,16142,14339,14277,14730,8480,8421,8409,10892,11712,11651,13350,13414,13374,16949,17046,17159,9289,9390,9403,7442,7390,7099,10921,10943,10970,11075,11373,11431,9595,9583,9804,10490,10522,10477,7971,7907,8068,8192,8041,7837,9251,9544,9832,7234,7352,7513,4679,4712,4696,6005,5988,6153,5664,5640,5618,8943,8951,9038,6550,6369,6344,4467,4458,4476,6053,6068,6094,9270,9320,9351,2280,2371,2439,2824,2832,2832,6769,6651,6507,7510,7896,8053,3203,3179,3179
May,16158,16072,16002,15168,15269,15669,8435,8418,8404,11677,11720,11707,13223,13673,13656,17428,17457,17644,9412,9403,9401,7102,7115,7128,11093,11261,11283,11893,12326,12618,10137,11171,11404,10500,10564,10818,8044,8237,8369,7773,7801,7847,9972,10032,10217,7915,8130,8360,4749,4787,4795,6226,6217,6243,5572,5584,5655,9089,9097,9156,6390,6575,6855,4469,4533,4659,6087,6120,6179,9470,9499,9566,2440,2440,2487,2833,2752,2686,6586,6534,6581,8429,8631,9235,3168,3154,3146
June,16059,15719,16073,17313,17328,17623,8396,8367,8566,11787,11688,11810,13926,14212,14246,18001,19018,20279,9369,9360,9720,7113,7063,7020,11121,10774,10314,12790,12924,13250,11269,10804,10920,11320,11211,11163,8654,9014,9074,7849,7884,7933,10215,10504,10599,8427,8151,8136,4777,4692,4750,6288,6239,6234,5660,5654,5665,9156,9114,9114,6949,7025,7235,4748,4693,4681,6197,6206,6220,9777,10506,10988,2668,3514,4443,2680,2674,2698,6648,6690,6657,9477,9398,9379,3146,3128,3228
July,16067,16098,16136,17666,18502,19077,8634,8642,8694,11753,11792,11796,14398,14856,15011,20821,21058,21666,9867,9882,9900,6986,7090,7100,9297,9080,9361,13903,14369,14630,10759,10811,10869,11441,11587,11428,9426,9287,9536,7952,8066,8148,10562,10523,10917,8358,8623,9165,5057,5181,5239,6131,6228,6228,5760,5887,5846,9063,9100,9114,7381,7498,7562,4753,4856,4910,6168,6193,6106,11418,11860,12299,4565,4524,4522,2700,2700,2668,6614,6601,6595,9508,9590,9763,3651,3894,4195
August,15585,15586,15935,19345,19515,20067,8715,8746,8709,11793,11806,11812,15275,15332,15375,20549,20098,20940,10199,11153,12288,7103,7083,6999,9238,9135,8556,14897,15085,15063,11501,14734,16046,11527,11412,11219,9744,10085,10783,8148,8148,8172,11032,11243,11491,9512,9823,9853,5133,5221,5586,6156,6273,6368,5946,6130,6121,9121,9110,9198,7562,7594,8290,4940,4940,4981,6073,6026,5953,12804,12923,13210,4830,4954,5758,2751,2776,2745,6563,6522,6517,9700,9747,9816,4275,4994,7286
September,15181,15747,15640,20766,20568,19817,8768,8800,8654,11850,11855,11873,15308,15018,14087,22138,21537,18791,12900,13528,14016,7002,6987,7001,8537,8489,8694,15152,15073,14814,16203,16026,13869,11101,10976,10378,11335,11830,11717,8205,8112,8111,11972,12218,12004,9919,9683,9588,5819,6019,6122,6404,6442,6472,6141,6268,6301,9183,9095,8884,9012,9445,9540,5005,5006,4997,5923,5844,5663,13210,12677,10511,6260,6110,5550,2778,2744,2691,6528,6304,5963,10067,10160,9707,7649,8073,8110
October,14843,0,0,18756,17333,13878,8750,8783,9236,10502,9413,8467,12901,10139,9809,13915,10401,9273,14098,13033,11553,6961,6366,5807,8667,7462,6071,14323,11120,9650,11749,10663,10076,9743,9217,6910,11544,10441,9505,7998,7916,7552,11877,11463,10694,9542,8105,7125,6166,5983,5869,6497,6113,5251,6291,6321,6303,8674,8330,8020,9702,9104,8614,4968,4891,4957,5606,5510,5061,9197,7199,6286,4829,4731,4691,2691,2646,2594,5674,4993,4570,7885,6529,6263,7592,6972,6362
November,0,0,0,11335,10582,11075,10276,10993,11228,7990,6923,6553,9531,8981,8873,10653,10327,10044,11589,12431,13589,7059,6802,6711,5514,4694,4539,9447,8740,8635,9791,9530,9342,6331,6341,6374,9076,8454,8394,6847,6774,6441,9332,8255,7060,6946,6509,6240,5720,5695,5772,4974,4559,4185,6165,5939,5360,7657,7083,5835,8154,7928,8071,4778,4607,4518,4662,4311,3928,5916,5779,5733,4918,5550,6594,2212,1960,1860,4143,3672,3384,6509,6926,7355,5751,5444,5804
December,0,0,0,13123,13462,14642,12295,13163,13305,7138,7610,8010,9260,10411,10708,10494,11287,12078,14138,14578,15321,7083,7785,8391,5222,5923,6416,9506,9997,9996,9583,10279,10635,6703,7038,7232,8869,9045,9291,7132,7525,7907,7751,7867,7993,6458,6503,6650,6448,6718,6897,3812,4237,4496,5556,5595,5743,5658,5695,5800,8489,8397,8373,4615,4625,4569,3895,3810,3945,5719,5803,5576,6831,6906,6944,1940,2088,2226,3158,2988,2915,7681,7631,7625,6164,6116,6067