year,2024,2024,2024,2023,2023,2023,2022,2022,2022,2021,2021,2021,2020,2020,2020,2019,2019,2019,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015
Month,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late
January,34409,34777,34827,30329,30202,30179,30320,30310,30901,37669,38313,39023,26209,26336,26321,31863,31920,31888,31190,31206,31256,19745,19596,19633,23345,23345,22469,0,0,0
February,35591,36432,36486,30428,31274,31956,30950,30877,30798,39011,38837,38890,26344,25828,25899,31876,31888,31923,31229,31115,31268,19866,19898,20123,21230,21600,21603,0,0,0
March,35208,34095,33651,32539,33273,33898,30664,30543,30587,38883,38438,36957,26255,26359,26500,31928,31948,31984,31335,31322,31272,20089,20194,20138,22356,22532,22505,0,0,0
April,34221,34568,33994,34283,33585,33471,30573,30505,30535,36960,37152,37351,26486,26425,26328,31877,31731,31229,31274,31260,31371,20039,19928,20203,22441,22431,22309,0,0,0
May,33915,33762,33636,34330,34400,34367,29681,29613,29716,37397,37600,37591,26320,26203,26208,31366,31292,31118,31446,31307,31318,20199,19934,19694,22260,22247,22258,0,0,0
June,35361,35687,35667,34260,34354,34355,29779,29889,29933,37578,37576,37881,26138,26048,26089,30826,30761,30865,31500,31195,31124,19655,19702,19891,22388,22077,22137,23532,23532,23541
July,35644,35677,35770,33599,33700,33702,29925,29874,29793,38005,39162,40030,26053,25982,26059,30659,30428,30397,31006,31049,31336,20319,20366,20530,22415,22527,22527,23967,23997,24063
August,35323,35035,35141,33747,33723,34029,29784,29800,30092,39211,38792,35170,25916,26972,29501,30360,30313,29970,31495,32252,32594,20595,20595,21010,22527,22527,21297,24053,24039,24039
September,34621,35095,35302,36256,36878,36963,30326,30728,31337,34924,34419,34345,31479,32088,32565,29457,29248,29032,32902,32984,32933,21530,22862,24365,21123,21116,21211,24364,22938,23300
October,34977,0,0,36401,35578,34817,31624,31136,30973,34334,34090,33895,32797,33718,35143,28499,28207,27463,32927,32648,32488,24978,27395,28450,21547,21756,21505,24728,24557,24583
November,0,0,0,31471,29995,30504,31043,29950,30033,33378,31870,30732,35522,35020,35543,26124,25588,25372,31933,31753,31775,29320,30590,30641,20661,19093,18690,24320,23752,23335
December,0,0,0,33199,33221,33372,30080,30248,30224,30510,30894,30439,35678,36030,36682,25276,25774,26081,31944,32281,32016,30791,31118,31174,18942,19543,19689,22985,22986,23240