year,2024,2024,2024,2023,2023,2023,2022,2022,2022,2021,2021,2021,2020,2020,2020,2019,2019,2019,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000
Month,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late,Early,Mid,Late
January,10615,9971,11140,8528,10224,10118,7577,7862,8974,10110,12078,13987,6732,6842,7170,5181,5255,5315,5517,5862,6000,7283,6579,7222,7003,6991,6895,6960,5556,6504,5896,6001,4644,4669,4969,9507,8360,8017,5504,6529,6845,7859,8629,10465,3841,4275,4603,4068,4326,5681,5575,5450,5245,4049,4033,3933,5161,6384,6766,3118,3207,3463,3710,3899,4451,4560,5233,5722,2258,2639,2399,2381,2707,3369,0
February,12204,11703,9506,8653,7595,7095,9672,8891,8274,11779,10152,8247,6334,5615,5604,6040,5566,4980,6035,6406,5254,7625,8219,8385,7868,8408,7955,8107,5506,5889,6067,5784,5323,4796,3975,7910,7349,5752,6171,5710,5698,10510,8239,7663,4677,5002,4913,5809,4324,3563,5415,5676,5835,3667,3900,4099,5301,4002,3585,3818,3926,3597,4218,4213,4154,6371,5997,5534,2241,2281,2019,2957,2675,2621,0
March,8269,8200,8257,6283,5732,5021,8074,7126,5254,6871,5668,5091,5205,4707,4472,4795,3966,3831,4216,3589,2758,7877,6852,6170,7834,6927,6123,6887,5292,4432,3865,4525,3536,3283,3330,5283,4496,4081,5719,5080,5030,7566,6452,5621,4649,4582,4677,3426,3006,2807,5648,4757,3600,3468,3108,2685,3443,3074,3023,3324,3322,3041,4089,3832,3407,4913,4121,3740,1799,1668,1340,2438,2275,1996,0
April,7465,6951,8021,4747,4701,5417,4539,4443,4801,4608,4575,5044,4547,4724,5666,3576,3616,3505,2448,2653,3320,5032,4230,3898,5049,4730,4245,4656,3561,3539,4059,3736,3106,3015,3416,3641,4115,4158,4562,4271,4213,5786,4829,4569,4972,4775,4814,2515,2768,2998,3002,2733,2430,2590,2750,2851,3078,3145,3386,2714,2503,2108,3052,2857,2748,3321,3142,3225,1272,1352,1531,1770,1527,1399,0
May,8326,8216,8115,6797,7183,7994,5101,5516,6599,5481,5729,5276,6149,6061,6434,3643,4320,5457,4111,4256,4447,3846,4459,4621,4422,5238,5455,5110,4506,4832,4868,4772,4318,4858,5129,4063,3963,3692,3997,4228,4941,4429,4486,4498,4803,4686,4851,3249,3411,3430,2480,2569,3051,2768,2854,2917,3910,3953,3864,2158,2380,2683,2698,2722,2727,3290,3357,3408,1951,2101,2105,1494,1756,1976,0
June,8710,9302,10448,7869,8866,10523,7714,8653,10440,5210,5831,5956,7018,7062,6257,5944,7084,7793,4794,5197,5258,4420,4354,5116,5501,6120,6798,6172,4444,4434,5336,4724,5152,4907,5163,3626,3639,3716,5367,5404,6555,4749,5010,4745,4741,4780,5102,3469,3886,4226,3415,3873,3418,2928,3385,3939,3564,2966,3313,2901,3061,3056,2750,2779,2880,3594,3841,3929,2154,2220,2113,2319,2781,2838,0
July,11016,10780,11177,9839,10035,12177,10907,10566,10165,5858,5919,6860,6073,5931,5291,7158,7591,7187,5394,7201,7134,5772,5618,5899,6691,6173,6299,6363,6083,5770,4900,5538,5083,4624,4359,5247,6171,5979,8608,7230,5000,5160,6406,7356,5602,6108,6213,5123,4903,4344,2869,2774,3047,4144,3701,3098,3524,4059,4443,3264,3966,3699,3002,3025,3356,3894,3823,3822,2150,2155,1992,2731,2636,2404,0
August,10813,10667,12875,13689,13075,11340,9408,9029,9119,7700,8592,8981,5584,7278,9720,5966,5611,5488,7005,7335,7087,6094,5954,5620,6414,6546,7556,6865,4354,4735,5028,4723,4421,4457,4319,5844,5634,5958,3739,3914,5199,7248,7405,7159,6080,5979,6164,4190,3923,3603,3585,3987,3972,2918,2800,3096,4457,5552,5694,2965,3082,3155,3544,3686,4318,3894,4143,4340,1951,2389,2971,2638,2793,2878,0
September,14885,13922,12180,9654,8579,8603,10664,10785,10106,7740,7939,8222,10493,10459,9994,5186,5659,6084,6543,5806,5665,5362,4728,4778,7587,6775,5454,6518,5667,5353,5060,5390,4381,4983,5548,5859,6332,5905,6197,6461,6789,6394,5567,4853,7352,7934,8910,3208,3367,3482,3658,3629,3332,3696,4417,5726,5638,4792,3971,2956,3183,2964,4122,3775,3562,4624,5156,5215,3652,4121,4504,2751,2472,2343,0
October,11328,0,0,10143,10202,8291,8727,7539,7230,6947,7494,8787,7923,5820,5615,5867,5652,5935,5282,5027,4956,4909,4298,3972,5338,5327,6178,5628,4435,4031,3627,3992,5360,4914,4801,5030,4047,3528,7032,5755,4587,4541,4324,4251,8261,7434,5850,3666,3587,3461,3150,3019,2936,5930,5707,4985,3631,3158,2702,2754,2851,2867,3477,3589,3191,5413,5416,5136,4127,4105,3508,2261,1890,1726,0
November,0,0,0,6369,5505,6065,6928,6967,6083,9699,8004,6806,6110,7042,7276,5646,5266,4948,4817,4734,4289,3834,3735,3422,6798,8025,7637,7438,3678,3702,4165,3826,3935,3029,2846,3539,3709,3848,4146,4044,4216,3876,3244,2338,5129,5236,5160,3036,2946,2765,2859,2826,2647,4574,4245,4197,2601,2888,2893,2887,2675,2412,3081,2918,2749,4930,4568,4115,3439,3568,4210,1372,1318,1373,0
December,0,0,0,8193,10122,11382,5840,5832,6881,6096,6313,7008,6933,7069,8180,5235,5795,6310,4040,4211,4620,3299,3765,4898,6811,6856,7286,7007,5313,6248,6657,6092,3355,3982,4632,4158,4336,4352,5002,6614,8641,3132,4268,4549,5395,5460,6852,2894,2995,3168,3025,3546,3974,4582,4791,5136,3380,3527,3690,3101,3407,4120,2671,2700,2830,3643,3417,3423,4523,4589,4350,1694,1738,1859,0